Wall time,Step,Value
1673780292.738816,500,0.7074000239372253
1673780351.2347658,1000,0.5863999724388123
1673780424.1840982,1500,0.46650001406669617
1673780482.509708,2000,0.49079999327659607
1673780555.3006735,2500,0.35670000314712524
1673780613.9785025,3000,0.3684000074863434
1673780686.3327312,3500,0.24819999933242798
1673780743.2267296,4000,0.26010000705718994
1673780814.2859566,4500,0.18279999494552612
1673780871.1666481,5000,0.1670999974012375
1673780943.275349,5500,0.13249999284744263
1673781001.0846713,6000,0.1454000025987625
1673781073.7964833,6500,0.08569999784231186
1673781131.9366975,7000,0.11540000140666962
1673781203.1839714,7500,0.062199998646974564
1673781260.0680623,8000,0.08630000054836273
1673781331.3871877,8500,0.053199999034404755
1673781388.5186605,9000,0.04820000007748604
1673781461.8069491,9500,0.0421999990940094
1673781519.3534937,10000,0.03739999979734421
1673781593.7996902,10500,0.03629999980330467
1673781651.2194307,11000,0.03440000116825104
1673781725.3742816,11500,0.03180000185966492
1673781782.4085324,12000,0.03709999844431877
1673781854.6253552,12500,0.01510000042617321
1673781911.1839519,13000,0.024700000882148743
1673781983.1392744,13500,0.016200000420212746
1673782040.7582464,14000,0.02459999918937683
1673782113.941476,14500,0.018400000408291817
1673782172.185144,15000,0.01640000008046627
